date;open_price;high_price;low_price;close_price;volume;adjclose_price
2002.02.13;9.63;10.06;9.52;10.05;19054000;6.77
2002.02.14;10.18;10.19;9.93;10;2755400;6.73
2002.02.15;10;10.02;9.85;9.95;2097400;6.7
2002.02.19;9.9;9.9;9.38;9.55;1852600;6.43
2002.02.20;9.6;9.88;9.52;9.88;1723200;6.65
2002.02.21;9.84;9.93;9.75;9.85;1744200;6.63
2002.02.22;9.93;9.93;9.6;9.68;881400;6.51
2002.02.25;9.65;9.82;9.54;9.75;863400;6.56
2002.02.26;9.7;9.85;9.55;9.75;690400;6.56
2002.02.27;9.68;9.68;9.5;9.57;1022800;6.45
2002.02.28;9.6;9.73;9.55;9.55;687800;6.43
2002.03.01;9.52;9.77;9.49;9.69;478400;6.52
2002.03.04;9.73;9.9;9.71;9.85;795200;6.63
2002.03.05;9.8;9.82;9.58;9.63;861200;6.48
2002.03.06;9.62;9.72;9.6;9.68;329200;6.51
2002.03.07;9.68;10.3;9.68;10.21;675200;6.87
2002.03.08;10.15;10.5;10.15;10.45;400200;7.04
2002.03.11;10.4;10.7;10.38;10.59;1365600;7.13
2002.03.12;10.5;10.95;10.5;10.6;1454800;7.14
2002.03.13;10.6;10.75;10.32;10.51;1265800;7.08
2002.03.14;10.51;10.6;10.42;10.5;424200;7.07
2002.03.15;10.5;10.55;9.95;10.18;427000;6.85
2002.03.18;10.2;10.2;9.52;9.65;551800;6.5
2002.03.19;9.73;9.75;9.3;9.35;807400;6.3
2002.03.20;9.27;9.27;8.5;9.01;2309000;6.07
2002.03.21;9.01;9.63;9.01;9.38;1106800;6.31
2002.03.22;9.38;9.8;9.26;9.65;623600;6.5
2002.03.25;9.75;9.9;9.59;9.86;1892800;6.64
2002.03.26;10;10.05;9.89;9.99;454200;6.73
2002.03.27;9.99;10.5;9.95;10.3;342400;6.93
2002.03.28;10.25;10.3;10.05;10.1;428600;6.8
2002.04.01;10.02;10.02;9.5;9.52;470000;6.41
2002.04.02;9.5;9.5;9.18;9.32;524600;6.28
2002.04.03;9.32;9.4;9.22;9.3;141800;6.26
2002.04.04;9.27;9.52;9.27;9.48;190800;6.38
2002.04.05;9.48;9.7;9.24;9.24;209400;6.22
2002.04.08;9.3;9.3;8.89;9.15;389600;6.16
2002.04.09;9.1;9.6;9.1;9.48;890600;6.38
2002.04.10;9.45;9.52;9.38;9.46;325600;6.37
2002.04.11;9.45;9.45;9.25;9.25;361000;6.23
2002.04.12;9.32;9.32;9.03;9.13;309000;6.14
2002.04.15;9.1;9.28;9.1;9.28;389800;6.25
2002.04.16;9.38;9.6;9.38;9.5;306400;6.4
2002.04.17;9.63;10.13;9.63;9.9;837200;6.67
2002.04.18;9.9;10.07;9.87;9.9;246200;6.67
2002.04.19;9.9;10.18;9.9;10.14;161600;6.82
2002.04.22;10.07;10.07;9.9;10;193200;6.73
2002.04.23;9.98;10.13;9.75;9.77;206200;6.58
2002.04.24;9.76;9.81;9.7;9.7;266200;6.53
2002.04.25;9.7;9.7;9.59;9.7;431800;6.53
2002.04.26;9.65;9.79;9.63;9.63;413400;6.48
2002.04.29;9.57;9.57;9.4;9.45;640600;6.36
2002.04.30;9.38;9.65;9.35;9.52;1723600;6.41
2002.05.01;9.65;10.25;9.65;10.25;418000;6.9
2002.05.02;10.2;10.49;10.2;10.41;829000;7.01
2002.05.03;10.4;10.4;10.28;10.4;115800;7
2002.05.06;10.4;11.3;10.4;10.88;536600;7.32
2002.05.07;10.82;11;10.73;10.75;113200;7.24
2002.05.08;10.85;11.25;10.85;11.2;164600;7.54
2002.05.09;11.25;11.6;11.25;11.43;211800;7.69
2002.05.10;11.5;11.72;11;11.03;174000;7.43
2002.05.13;11.03;11.03;10.43;10.75;482400;7.24
2002.05.14;11;11.2;10.4;10.4;989600;7
2002.05.15;10.35;10.5;9.93;9.93;1457400;6.68
2002.05.16;9.93;10.35;9.93;10.3;1321600;6.93
2002.05.17;10.38;10.75;10.38;10.61;1087800;7.15
2002.05.20;10.61;10.75;10.55;10.69;584000;7.2
2002.05.21;11.3;11.32;10.23;10.25;968000;6.9
2002.05.22;10.23;10.75;10.15;10.63;461800;7.15
2002.05.23;10.63;11.35;10.63;11.2;539400;7.54
2002.05.24;11.17;11.85;11.17;11.73;553000;7.9
2002.05.28;11.77;12.15;11.65;12.1;520600;8.15
2002.05.29;12.1;12.1;11.75;11.8;1182000;7.94
2002.05.30;11.8;11.8;11.57;11.63;985400;7.83
2002.05.31;11.63;12.15;11.63;12.1;677000;8.14
2002.06.03;12.1;12.1;11.57;11.63;454400;7.83
2002.06.04;11.6;11.95;11.45;11.72;483400;7.89
2002.06.05;11.75;11.84;11.56;11.63;438000;7.83
